Provincias;Ramas de actividad;Magnitud;periodo;Total
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo total (miles de personas);2021(P);206,6
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo total (miles de personas);2020;192,0
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo total (miles de personas);2019;194,2
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo total (miles de personas);2018;193,1
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo asalariado (miles de personas);2021(P);184,3
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo asalariado (miles de personas);2020;171,7
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo asalariado (miles de personas);2019;175,9
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo asalariado (miles de personas);2018;176,4
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);686,9
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2020;666,3
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2019;690,1
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2018;670,4
03 Alicante/Alacant;TOTAL PERSONAS;Empleo asalariado (miles de personas);2021(P);572,4
03 Alicante/Alacant;TOTAL PERSONAS;Empleo asalariado (miles de personas);2020;559,0
03 Alicante/Alacant;TOTAL PERSONAS;Empleo asalariado (miles de personas);2019;584,7
03 Alicante/Alacant;TOTAL PERSONAS;Empleo asalariado (miles de personas);2018;564,0
04 Almería;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);287,3
04 Almería;TOTAL PERSONAS;Empleo total (miles de personas);2020;278,1
04 Almería;TOTAL PERSONAS;Empleo total (miles de personas);2019;285,7
04 Almería;TOTAL PERSONAS;Empleo total (miles de personas);2018;280,8
04 Almería;TOTAL PERSONAS;Empleo asalariado (miles de personas);2021(P);233,2
04 Almería;TOTAL PERSONAS;Empleo asalariado (miles de personas);2020;225,1
04 Almería;TOTAL PERSONAS;Empleo asalariado (miles de personas);2019;233,2
04 Almería;TOTAL PERSONAS;Empleo asalariado (miles de personas);2018;227,0
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2021(P);68,8
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2020;63,9
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2019;62,6
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2018;69,6
