,comunidad_autónoma,categoria,generacion (MW),porcentaje (%),mes,año
117,Canarias,Hidráulica,297.947,0.26467071109852347,10,2019
118,Canarias,Hidráulica,296.523,0.20212009648499044,11,2019
119,Canarias,Hidráulica,299.145,0.33851593311306744,12,2019
120,Canarias,Hidroeólica,1109.656,1.4604280493902473,1,2019
121,Canarias,Hidroeólica,972.545,1.3538286123372612,2,2019
122,Canarias,Hidroeólica,1955.158,1.5650696612245412,3,2019
123,Canarias,Hidroeólica,1548.369,1.6397554402575751,4,2019
124,Canarias,Hidroeólica,2031.012,1.5846004769876723,5,2019
125,Canarias,Hidroeólica,1372.141,1.3698621521182224,6,2019
126,Canarias,Hidroeólica,3727.338,1.933817043285884,7,2019
127,Canarias,Hidroeólica,3475.119,1.8220366724780916,8,2019
128,Canarias,Hidroeólica,2218.351,1.747563094534349,9,2019
129,Canarias,Hidroeólica,1582.837,1.4060574341847831,10,2019
130,Canarias,Hidroeólica,2096.522,1.429060237900281,11,2019
131,Canarias,Hidroeólica,1159.67,1.3122959506367513,12,2019
132,Canarias,Eólica,55716.046,73.32837958747331,1,2019
133,Canarias,Eólica,48413.317,67.39362576822042,2,2019
134,Canarias,Eólica,96842.352,77.52060295731997,3,2019
135,Canarias,Eólica,67113.055,71.0741412728851,4,2019
136,Canarias,Eólica,95432.451,74.45662919505284,5,2019
137,Canarias,Eólica,74330.709,74.20726076927467,6,2019
138,Canarias,Eólica,158185.457,82.06975936890252,7,2019
139,Canarias,Eólica,158502.759,83.10444608859636,8,2019
140,Canarias,Eólica,100474.589,79.15144342572788,9,2019
141,Canarias,Eólica,89263.401,79.29399462905367,10,2019
142,Canarias,Eólica,125116.103,85.2833635508409,11,2019
143,Canarias,Eólica,68726.336,77.77151468512659,12,2019
144,Canarias,Solar fotovoltaica,17899.612,23.557837237848727,1,2019
145,Canarias,Solar fotovoltaica,21362.932,29.73821117276349,2,2019
146,Canarias,Solar fotovoltaica,24927.767,19.954239940595237,3,2019
147,Canarias,Solar fotovoltaica,24572.315,26.022600039766242,4,2019
148,Canarias,Solar fotovoltaica,29457.906,22.983129542640818,5,2019
149,Canarias,Solar fotovoltaica,23363.525,23.324722923932665,6,2019
150,Canarias,Solar fotovoltaica,29616.449,15.365602432032507,7,2019
151,Canarias,Solar fotovoltaica,27737.331,14.54293630769577,8,2019
152,Canarias,Solar fotovoltaica,23527.582,18.53445825607879,9,2019
153,Canarias,Solar fotovoltaica,20851.228,18.52245312769534,10,2019
154,Canarias,Solar fotovoltaica,18324.16,12.49036664004614,11,2019
155,Canarias,Solar fotovoltaica,17279.291,19.553445039687205,12,2019
156,Canarias,Otras renovables,963.329,1.267845794003779,1,2019
157,Canarias,Otras renovables,822.798,1.1453737097757675,2,2019
158,Canarias,Otras renovables,901.071,0.7212915195136448,3,2019
159,Canarias,Otras renovables,896.333,0.9492355588573481,4,2019
160,Canarias,Otras renovables,944.555,0.7369440966085333,5,2019
161,Canarias,Otras renovables,823.3,0.821932665694657,6,2019
162,Canarias,Otras renovables,917.458,0.4759954468575108,7,2019
163,Canarias,Otras renovables,712.672,0.3736604471525455,8,2019
164,Canarias,Otras renovables,436.619,0.343957854628277,9,2019
165,Canarias,Otras renovables,577.3,0.5128240979676841,10,2019
166,Canarias,Otras renovables,873.034,0.5950894747276841,11,2019
167,Canarias,Otras renovables,905.106,1.0242283914363803,12,2019
168,Cantabria,Hidráulica,18324.586,52.22924662476366,1,2019
169,Cantabria,Hidráulica,33896.027,68.41095353028828,2,2019
170,Cantabria,Hidráulica,20897.705,58.5801231287587,3,2019
171,Cantabria,Hidráulica,18934.539,53.82456817204587,4,2019
172,Cantabria,Hidráulica,16525.627,50.85280456423915,5,2019
173,Cantabria,Hidráulica,12824.067,47.5925589066639,6,2019
174,Cantabria,Hidráulica,9794.195,44.141460061720196,7,2019
175,Cantabria,Hidráulica,5418.636,30.25683462878585,8,2019
176,Cantabria,Hidráulica,7280.188,33.03970507560269,9,2019
177,Cantabria,Hidráulica,14203.371,44.09902644542054,10,2019
178,Cantabria,Hidráulica,33469.68,65.11028005926669,11,2019
179,Cantabria,Hidráulica,38335.339,69.64404577151154,12,2019
180,Cantabria,Eólica,5866.649,16.721286771877033,1,2019
181,Cantabria,Eólica,7484.663,15.105986689321082,2,2019
182,Cantabria,Eólica,6076.595,17.03381702936277,3,2019
183,Cantabria,Eólica,7105.364,20.198175884039244,4,2019
184,Cantabria,Eólica,5754.385,17.707444068076168,5,2019
185,Cantabria,Eólica,4296.882,15.946548758672566,6,2019
186,Cantabria,Eólica,2413.11,10.87564610358867,7,2019
187,Cantabria,Eólica,2399.185,13.396682078084519,8,2019
188,Cantabria,Eólica,5213.13,23.658767839618523,9,2019
189,Cantabria,Eólica,8345.171,25.910322036969717,10,2019
190,Cantabria,Eólica,10825.523,21.05944348192253,11,2019
191,Cantabria,Eólica,7131.698,12.956199551035596,12,2019
192,Cantabria,Solar fotovoltaica,72.563,0.20682108850004718,1,2019
193,Cantabria,Solar fotovoltaica,147.208,0.2971038360126005,2,2019
194,Cantabria,Solar fotovoltaica,223.291,0.6259258743265663,3,2019
195,Cantabria,Solar fotovoltaica,205.894,0.5852878509064949,4,2019
196,Cantabria,Solar fotovoltaica,248.167,0.7636616722798801,5,2019
197,Cantabria,Solar fotovoltaica,229.48,0.851644054721582,6,2019
198,Cantabria,Solar fotovoltaica,243.172,1.0959519517559762,7,2019
199,Cantabria,Solar fotovoltaica,214.338,1.1968306084159743,8,2019
200,Cantabria,Solar fotovoltaica,198.345,0.9001498729456459,9,2019
201,Cantabria,Solar fotovoltaica,143.967,0.44699279771456085,10,2019
202,Cantabria,Solar fotovoltaica,63.824,0.12416009099885737,11,2019
203,Cantabria,Solar fotovoltaica,83.764,0.15217457317919877,12,2019
204,Cantabria,Otras renovables,7329.449,20.890600172065408,1,2019
205,Cantabria,Otras renovables,4915.641,9.921035524977007,2,2019
206,Cantabria,Otras renovables,4988.758,13.984409192281161,3,2019
207,Cantabria,Otras renovables,6202.597,17.63191092586026,4,2019
208,Cantabria,Otras renovables,6463.383,19.889178941460177,5,2019
209,Cantabria,Otras renovables,6214.583,23.063502982934516,6,2019
210,Cantabria,Otras renovables,6304.203,28.412414184675377,7,2019
211,Cantabria,Otras renovables,6447.88,36.00397569909765,8,2019
212,Cantabria,Otras renovables,5977.142,27.126086424553602,9,2019
213,Cantabria,Otras renovables,6039.361,18.75117818526612,10,2019
214,Cantabria,Otras renovables,6002.143,11.676275712399017,11,2019
215,Cantabria,Otras renovables,6024.545,10.944827897114227,12,2019
216,Cantabria,Residuos renovables,3491.6665,9.952045342793847,1,2019
217,Cantabria,Residuos renovables,3104.1215,6.264920419401034,2,2019
218,Cantabria,Residuos renovables,3487.364,9.775724775270799,3,2019
219,Cantabria,Residuos renovables,2729.852,7.76005716714813,4,2019
220,Cantabria,Residuos renovables,3505.4205,10.786910753944616,5,2019
