,comunidad_autonoma,provincias,edad (3 grupos de edad),españoles/extranjeros,sexo,año,total
1834,Ceuta,Ceuta,65 y más,Extranjeros,Mujeres,2020,164
1835,Ceuta,Ceuta,65 y más,Extranjeros,Mujeres,2019,153
1836,Melilla,Melilla,0-15 años,Españoles,Hombres,2021,9033
1837,Melilla,Melilla,0-15 años,Españoles,Hombres,2020,9090
1838,Melilla,Melilla,0-15 años,Españoles,Hombres,2019,9100
1839,Melilla,Melilla,0-15 años,Españoles,Mujeres,2021,8666
1840,Melilla,Melilla,0-15 años,Españoles,Mujeres,2020,8716
1841,Melilla,Melilla,0-15 años,Españoles,Mujeres,2019,8702
1842,Melilla,Melilla,0-15 años,Extranjeros,Hombres,2021,1405
1843,Melilla,Melilla,0-15 años,Extranjeros,Hombres,2020,1628
1844,Melilla,Melilla,0-15 años,Extranjeros,Hombres,2019,1656
1845,Melilla,Melilla,0-15 años,Extranjeros,Mujeres,2021,1291
1846,Melilla,Melilla,0-15 años,Extranjeros,Mujeres,2020,1464
1847,Melilla,Melilla,0-15 años,Extranjeros,Mujeres,2019,1468
1848,Melilla,Melilla,16-64 años,Españoles,Hombres,2021,24646
1849,Melilla,Melilla,16-64 años,Españoles,Hombres,2020,24775
1850,Melilla,Melilla,16-64 años,Españoles,Hombres,2019,24709
1851,Melilla,Melilla,16-64 años,Españoles,Mujeres,2021,22897
1852,Melilla,Melilla,16-64 años,Españoles,Mujeres,2020,22859
1853,Melilla,Melilla,16-64 años,Españoles,Mujeres,2019,22699
1854,Melilla,Melilla,16-64 años,Extranjeros,Hombres,2021,4323
1855,Melilla,Melilla,16-64 años,Extranjeros,Hombres,2020,4553
1856,Melilla,Melilla,16-64 años,Extranjeros,Hombres,2019,4497
1857,Melilla,Melilla,16-64 años,Extranjeros,Mujeres,2021,4682
1858,Melilla,Melilla,16-64 años,Extranjeros,Mujeres,2020,4785
1859,Melilla,Melilla,16-64 años,Extranjeros,Mujeres,2019,4780
1860,Melilla,Melilla,65 y más,Españoles,Hombres,2021,3775
1861,Melilla,Melilla,65 y más,Españoles,Hombres,2020,3669
1862,Melilla,Melilla,65 y más,Españoles,Hombres,2019,3510
1863,Melilla,Melilla,65 y más,Españoles,Mujeres,2021,4633
1864,Melilla,Melilla,65 y más,Españoles,Mujeres,2020,4604
1865,Melilla,Melilla,65 y más,Españoles,Mujeres,2019,4501
1866,Melilla,Melilla,65 y más,Extranjeros,Hombres,2021,421
1867,Melilla,Melilla,65 y más,Extranjeros,Hombres,2020,447
1868,Melilla,Melilla,65 y más,Extranjeros,Hombres,2019,422
1869,Melilla,Melilla,65 y más,Extranjeros,Mujeres,2021,489
1870,Melilla,Melilla,65 y más,Extranjeros,Mujeres,2020,486
1871,Melilla,Melilla,65 y más,Extranjeros,Mujeres,2019,443
