,comunidad_autonoma,provincias,ramas de actividad,magnitud,periodo,total
53,Comunidad Valenciana,Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2019,64.2
54,Comunidad Valenciana,Alicante/Alacant,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2021,58.8
55,Comunidad Valenciana,Alicante/Alacant,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2020,57.0
56,Comunidad Valenciana,Alicante/Alacant,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2019,60.8
57,Comunidad Valenciana,Alicante/Alacant,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2021,53.8
58,Comunidad Valenciana,Alicante/Alacant,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2020,52.3
59,Comunidad Valenciana,Alicante/Alacant,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2019,56.3
60,Comunidad Valenciana,Alicante/Alacant,F. Construcción,Empleo total (miles de personas),2021,53.8
61,Comunidad Valenciana,Alicante/Alacant,F. Construcción,Empleo total (miles de personas),2020,50.8
62,Comunidad Valenciana,Alicante/Alacant,F. Construcción,Empleo total (miles de personas),2019,53.3
63,Comunidad Valenciana,Alicante/Alacant,F. Construcción,Empleo asalariado (miles de personas),2021,43.8
64,Comunidad Valenciana,Alicante/Alacant,F. Construcción,Empleo asalariado (miles de personas),2020,42.9
65,Comunidad Valenciana,Alicante/Alacant,F. Construcción,Empleo asalariado (miles de personas),2019,45.1
66,Comunidad Valenciana,Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2021,248.4
67,Comunidad Valenciana,Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2020,247.6
68,Comunidad Valenciana,Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2019,261.2
69,Comunidad Valenciana,Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2021,198.4
70,Comunidad Valenciana,Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2020,200.2
71,Comunidad Valenciana,Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2019,212.2
72,Comunidad Valenciana,Alicante/Alacant,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2021,93.2
73,Comunidad Valenciana,Alicante/Alacant,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2020,91.7
